Dim,Method,Value,Time
15,"tournament_selection, ordered_crossover, mutation_scramble",248,0.36
15,"rank_selection, pmx_crossover, mutation_swap",248,0.41
15,"rank_selection, pmx_crossover, mutation_inverse",248,0.44
15,"rank_selection, pmx_crossover, mutation_scramble",248,0.43
15,"rank_selection, ordered_crossover, mutation_swap",248,0.38
15,"rank_selection, ordered_crossover, mutation_inverse",248,0.4
15,"rank_selection, ordered_crossover, mutation_scramble",260,0.42
15,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",269,0.52
15,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",248,0.53
15,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",260,0.55
15,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",248,0.49
15,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",248,0.54
15,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",248,0.53
20,"tournament_selection, pmx_crossover, mutation_swap",542,0.51
20,"tournament_selection, pmx_crossover, mutation_inverse",507,0.52
20,"tournament_selection, pmx_crossover, mutation_scramble",507,0.49
20,"tournament_selection, ordered_crossover, mutation_swap",534,0.46
20,"tournament_selection, ordered_crossover, mutation_inverse",508,0.47
20,"tournament_selection, ordered_crossover, mutation_scramble",507,0.5
20,"rank_selection, pmx_crossover, mutation_swap",507,0.53
20,"rank_selection, pmx_crossover, mutation_inverse",511,0.54
20,"rank_selection, pmx_crossover, mutation_scramble",514,0.57
20,"rank_selection, ordered_crossover, mutation_swap",507,0.52
20,"rank_selection, ordered_crossover, mutation_inverse",508,0.54
20,"rank_selection, ordered_crossover, mutation_scramble",509,0.56
20,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",507,0.64
20,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",509,0.66
20,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",538,0.68
20,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",507,0.64
20,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",510,0.65
20,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",521,0.68
30,"tournament_selection, pmx_crossover, mutation_swap",1905,1.05
30,"tournament_selection, pmx_crossover, mutation_inverse",1913,0.99
30,"tournament_selection, pmx_crossover, mutation_scramble",1916,1.02
30,"tournament_selection, ordered_crossover, mutation_swap",1914,0.96
30,"tournament_selection, ordered_crossover, mutation_inverse",1942,0.99
30,"tournament_selection, ordered_crossover, mutation_scramble",1944,1.03
30,"rank_selection, pmx_crossover, mutation_swap",1930,1.06
30,"rank_selection, pmx_crossover, mutation_inverse",1933,1.06
30,"rank_selection, pmx_crossover, mutation_scramble",1909,1.12
30,"rank_selection, ordered_crossover, mutation_swap",1932,1.04
30,"rank_selection, ordered_crossover, mutation_inverse",1920,1.21
30,"rank_selection, ordered_crossover, mutation_scramble",1917,1.12
30,"rank_selection_linear_ranking, pmx_crossover, mutation_swap",1950,1.17
30,"rank_selection_linear_ranking, pmx_crossover, mutation_inverse",1989,1.19
30,"rank_selection_linear_ranking, pmx_crossover, mutation_scramble",1919,1.26
30,"rank_selection_linear_ranking, ordered_crossover, mutation_swap",1915,1.17
30,"rank_selection_linear_ranking, ordered_crossover, mutation_inverse",1916,1.23
30,"rank_selection_linear_ranking, ordered_crossover, mutation_scramble",1937,1.3
50,"tournament_selection, pmx_crossover, mutation_swap",8570,1.44
50,"tournament_selection, pmx_crossover, mutation_inverse",8578,1.48
50,"tournament_selection, pmx_crossover, mutation_scramble",8521,1.54
50,"tournament_selection, ordered_crossover, mutation_swap",8218,1.44
50,"tournament_selection, ordered_crossover, mutation_inverse",8530,1.46
50,"tournament_selection, ordered_crossover, mutation_scramble",8473,1.5
50,"rank_selection, pmx_crossover, mutation_swap",8453,1.47
50,"rank_selection, pmx_crossover, mutation_inverse",8450,1.5
