Dim,Method,Value,Time
20,"shaking_inverse, make_change_swap, local_search",513,4.07
20,"shaking_inverse, make_change_swap, local_search_with_permutation",516,10.48
20,"shaking_inverse, make_change_inverse, local_search",509,3.9
20,"shaking_inverse, make_change_inverse, local_search_with_permutation",509,10.22
20,"shaking_inverse, make_change_scramble, local_search",517,4.65
20,"shaking_inverse, make_change_scramble, local_search_with_permutation",515,11.01
20,"shaking_swap, make_change_swap, local_search",513,2.64
20,"shaking_swap, make_change_swap, local_search_with_permutation",518,6.8
20,"shaking_swap, make_change_inverse, local_search",526,2.65
20,"shaking_swap, make_change_inverse, local_search_with_permutation",514,6.75
20,"shaking_swap, make_change_scramble, local_search",526,3.13
20,"shaking_swap, make_change_scramble, local_search_with_permutation",517,7.37
20,"shaking_inverse, make_change_swap, local_search",512,3.86
20,"shaking_inverse, make_change_swap, local_search_with_permutation",508,10.52
20,"shaking_inverse, make_change_inverse, local_search",511,3.85
20,"shaking_inverse, make_change_inverse, local_search_with_permutation",509,10.2
20,"shaking_inverse, make_change_scramble, local_search",515,4.65
20,"shaking_inverse, make_change_scramble, local_search_with_permutation",511,10.97
15,"shaking_swap, make_change_swap, local_search",248,1.22
15,"shaking_swap, make_change_swap, local_search_with_permutation",248,3.34
15,"shaking_swap, make_change_inverse, local_search",249,1.33
15,"shaking_swap, make_change_inverse, local_search_with_permutation",248,3.31
15,"shaking_swap, make_change_scramble, local_search",248,1.55
15,"shaking_swap, make_change_scramble, local_search_with_permutation",248,3.61
15,"shaking_inverse, make_change_swap, local_search",248,1.98
15,"shaking_inverse, make_change_swap, local_search_with_permutation",248,5.62
15,"shaking_inverse, make_change_inverse, local_search",248,2.05
15,"shaking_inverse, make_change_inverse, local_search_with_permutation",248,5.5
15,"shaking_inverse, make_change_scramble, local_search",250,2.52
15,"shaking_inverse, make_change_scramble, local_search_with_permutation",248,6.07
10,"shaking_swap, make_change_swap, local_search",60,0.44
10,"shaking_swap, make_change_swap, local_search_with_permutation",60,1.13
10,"shaking_swap, make_change_inverse, local_search",60,0.44
10,"shaking_swap, make_change_inverse, local_search_with_permutation",60,1.14
10,"shaking_swap, make_change_scramble, local_search",60,0.58
10,"shaking_swap, make_change_scramble, local_search_with_permutation",60,1.3
10,"shaking_inverse, make_change_swap, local_search",60,0.66
10,"shaking_inverse, make_change_swap, local_search_with_permutation",60,1.69
10,"shaking_inverse, make_change_inverse, local_search",60,0.61
10,"shaking_inverse, make_change_inverse, local_search_with_permutation",60,1.7
10,"shaking_inverse, make_change_scramble, local_search",60,0.84
10,"shaking_inverse, make_change_scramble, local_search_with_permutation",60,1.89
30,"shaking_swap, make_change_swap, local_search",1959,9.52
30,"shaking_swap, make_change_swap, local_search_with_permutation",1964,23.07
30,"shaking_swap, make_change_inverse, local_search",2015,9.74
30,"shaking_swap, make_change_inverse, local_search_with_permutation",2012,23.15
30,"shaking_swap, make_change_scramble, local_search",1947,10.5
30,"shaking_swap, make_change_scramble, local_search_with_permutation",1981,24.68
30,"shaking_inverse, make_change_swap, local_search",1938,13.88
30,"shaking_inverse, make_change_swap, local_search_with_permutation",1975,37.98
30,"shaking_inverse, make_change_inverse, local_search",1905,13.95
30,"shaking_inverse, make_change_inverse, local_search_with_permutation",1932,37.11
30,"shaking_inverse, make_change_scramble, local_search",2003,15.6
30,"shaking_inverse, make_change_scramble, local_search_with_permutation",1994,37.75
50,"shaking_swap, make_change_swap, local_search",8705,47.15
50,"shaking_swap, make_change_swap, local_search_with_permutation",8683,118.22
50,"shaking_swap, make_change_inverse, local_search",8824,46.7
50,"shaking_swap, make_change_inverse, local_search_with_permutation",8803,123.0
