Dim,brute_force,brute_force_time,greedy,greedy_time,local_search,local_search_time,local_search_perm,local_search_perm_time,sim_annealing,sim_annealing_time,vns,vns_time,genetic_alg,genetic_alg_time,tabu,tabu_time,taloc_combo,taloc_combo_time
5,6.0,0.0,8.0,0.0,6.0,0.01,6.0,0.05,6.0,0.01,6.0,0.29,6.0,0.23,6.29,0.1,6.0,0.26
8,23.0,0.54,44.0,0.0,23.0,0.01,23.0,0.09,23.33,0.02,23.0,0.64,23.0,0.26,24.43,0.37,23.0,0.58
10,60.0,76.28,98.0,0.0,60.0,0.02,64.0,0.13,60.0,0.02,60.0,1.03,60.67,0.3,63.0,0.74,60.4,1.07
11,,,114.0,0.0,71.0,0.02,70.0,0.12,70.33,0.03,70.0,1.08,70.17,0.31,73.43,1.0,70.0,1.17
15,,,386.0,0.0,250.33,0.05,248.0,0.23,248.0,0.03,248.25,3.18,250.5,0.43,273.14,3.32,249.37,3.46
20,,,818.0,0.0,523.0,0.05,510.67,0.42,522.0,0.06,515.0,6.12,514.06,0.56,543.29,10.05,512.6,9.25
30,,,2751.0,0.0,1951.33,0.14,1941.67,0.79,1970.0,0.14,1968.75,21.41,1927.83,1.11,2021.71,57.81,1909.1,47.44
50,,,11293.0,0.0,8682.67,0.43,8699.33,2.7,8808.0,0.44,8669.17,101.39,8525.78,1.53,8733.0,259.28,8278.7,210.99
70,,,31606.0,0.0,26503.0,0.55,26189.33,3.05,26583.33,0.54,25518.58,180.08,25226.0,3.38,26421.43,1266.5,24863.14,943.19
